대표도면,출원번호,발명의명칭,발명의명칭(영문),상태,IPC분류,출원인,대리인,발명자,출원일자,등록번호,등록일자,공개번호,공개일자
,1020210021952,광용적맥파를 이용한 반려동물 응급상황 모니터링 시스템 및 이의 동작 방법(COMPANION ANIMAL EMERGENCY SITUATION MONITORING SYSTEM USING PHOTOPLETHYSMOGRAPHY AND OPERATION METHOD THEREOF),COMPANION ANIMAL EMERGENCY SITUATION MONITORING SYSTEM USING PHOTOPLETHYSMOGRAPHY AND OPERATION METHOD THEREOF,공개,A61B 5/0205|A61B 5/1455|A61B 5/00|G16H 50/20,주식회사 케어식스,정은열|김태훈,김성훈|장진욱|윤영민,2021.02.18,,,1020220118161.0,2022.08.25
,1020210075994,"반려동물 의료데이터 표준화 방법 및 장치, 그리고 이를 이용한 반려동물 질병 발생 예측 방법(Method and device for standardizing animal medical data, and method for predicting animal disease using the same)","Method and device for standardizing animal medical data, and method for predicting animal disease using the same",공개,G16H 70/20|G16H 40/20|G16H 10/60|G16H 50/50|G16H 50/70,주식회사 에필,카이특허법인,이경준|김경호|주성일|박우석,2021.06.11,,,1020220167001.0,2022.12.20
,1020190038312,반려동물 혀 클리너(Tongue cleaner for companion animal),Tongue cleaner for companion animal,등록,A01K 13/00,주식회사 랩도쿠,김정현,오동진,2019.04.02,1022599260000.0,2021.05.27,1020200116663.0,2020.10.13
,1020200005435,반려동물 배변판(TOILET PLATE FOR PET),TOILET PLATE FOR PET,공개,A01K 23/00|A01K 1/01|A01K 29/00|G01N 33/53,금오공과대학교 산학협력단|양동길|신인철|신재홍|심규원|송지원|김정민,이선택,정현민|양동길|신인철|신재홍|심규원|송지원|김정민,2020.01.15,,,1020210092009.0,2021.07.23
,1020200166329,단계별 교육 및 평가를 기반으로 하는 반려동물 보호자 교육 시스템 및 방법(SMART VIDEO PROJECTOR AND SYSTEM AND METHOD FOR DISASTER WARNING USING THE SAME),SMART VIDEO PROJECTOR AND SYSTEM AND METHOD FOR DISASTER WARNING USING THE SAME,공개,G06Q 50/20|G06Q 50/22|G06Q 30/02|G06Q 30/06,곽원규,노경규,곽원규,2020.12.02,,,1020220077415.0,2022.06.09
,1020200175333,반려인들을 위한 반려동물 매칭 및 양육 가이드 콘텐츠 제공 시스템(Systems and for Providing Pet Matching Service and Parenting Guide Contents for Partners),Systems and for Providing Pet Matching Service and Parenting Guide Contents for Partners,공개,G06Q 30/06|G06Q 30/02,정하영,,정하영,2020.12.15,,,1020220085347.0,2022.06.22
,1020190070248,반려동물용 여권 및 이를 활용한 입출국 절차 진행 방법(PASSPORT FOR COMPANION ANIMALS AND METHOD OF PROCEEDING IMMIGRATION PROCEDURE),PASSPORT FOR COMPANION ANIMALS AND METHOD OF PROCEEDING IMMIGRATION PROCEDURE,등록,G07C 9/00|B42D 25/24|B42D 25/305|A45F 5/00|G06K 9/62|G06Q 50/26,주식회사 날라주,이상철,현진환|정준용,2019.06.13,1022164990000.0,2021.02.09,1020200142849.0,2020.12.23
,1020170136440,스마트 반려동물 하우스(SMART COMPANION ANIMAL HOUSE),SMART COMPANION ANIMAL HOUSE,소멸,A01K 1/02|A01K 1/035|H04M 1/04|H04N 7/18|H04N 5/232,이건우,유상무,이건우,2017.10.20,1019579840000.0,2019.03.07,,
,1020220079818,마이크로 니들 패치를 이용한 반려동물 알레르기 진단 시스템 및 방법(A METHOD AND SYSTEM FOR MEASURING ALLERGIC SYMPTOM ANALYSIS USING MICRO-NEEDLE PATCH),A METHOD AND SYSTEM FOR MEASURING ALLERGIC SYMPTOM ANALYSIS USING MICRO-NEEDLE PATCH,공개,A61B 5/00|A61B 5/103|A61B 10/00,주식회사 핏펫,김명진,고정욱|이아영|임연철|반용욱|김형진,2022.06.29,,,1020220097375.0,2022.07.07
,1020210075116,반려동물 스마트 헬스케어 리드줄(Pet Smart Healthcare Lead Line),Pet Smart Healthcare Lead Line,공개,A01K 27/00|A01K 29/00|A01K 11/00|A61B 5/00|A61B 5/0205|A61B 5/1455,백솔희,,백솔희,2021.06.09,,,1020220166156.0,2022.12.16
,1020190045460,반려동물을 위한 맞춤형 케어 시스템(Customized care system for companion animals),Customized care system for companion animals,거절,G16H 50/20|G16H 50/30,주식회사 호갱구조대,허정훈,강창우,2019.04.18,,,1020200122585.0,2020.10.28
,1020210073511,가상 반려동물 육성 시스템 및 방법(SYSTEM AND METHOD FOR REARING OF VIRTUAL PET),SYSTEM AND METHOD FOR REARING OF VIRTUAL PET,공개,G06Q 50/10|G06T 19/00|G06Q 50/22|G06Q 50/20,주식회사 웬투스,특허법인세원,손영훈|엄정호|진대현|이석정,2021.06.07,,,1020220165045.0,2022.12.14
,1020210122628,블록체인 DID 기술 활용 반려동물 보험 자동 청구 시스템(COMPANION ANIMAL INSURANCE AUTOMATIC CLAIM SYSTEM USING BLOCKCHAIN DID TECHNOLOGY),COMPANION ANIMAL INSURANCE AUTOMATIC CLAIM SYSTEM USING BLOCKCHAIN DID TECHNOLOGY,공개,G06Q 40/08|G06Q 10/10|G06Q 10/06|G16H 40/20|G16H 10/60,주식회사 디지인,특허법인우인,주상언,2021.09.14,,,1020220037975.0,2022.03.25
,1020200159040,반려동물 정수기(WATER SUPPLY DEVICE FOR COMPANION ANIMALS),WATER SUPPLY DEVICE FOR COMPANION ANIMALS,공개,A01K 7/02|B01D 35/02,주식회사 고유컴퍼니,신무연,조성우,2020.11.24,,,1020220071660.0,2022.05.31
,1020200176157,반려동물 모니터링 방법 및 그 장치(Method for monitoring companion animal and apparatus thereof),Method for monitoring companion animal and apparatus thereof,공개,A01K 29/00|G06Q 50/22|G06K 9/00|G08B 21/02|G10L 17/26,주식회사 코이노,특허법인 신지,장 민|오주병|홍승곤,2020.12.16,,,1020210080226.0,2021.06.30
,1020200127743,원격 감시 및 제어가 가능한 반려동물 도우미 장치(A device capable of remote monitoring and control to help pets),A device capable of remote monitoring and control to help pets,공개,A01K 29/00|H04N 7/18|H04N 7/14|G11B 20/10|G05B 11/01|A01K 5/02|A01K 7/02|A01K 7/00|A01K 15/02,오종연,,오종연,2020.10.04,,,1020220045093.0,2022.04.12
,1020190137231,수평조절장치를 갖는 반려동물용 이동 케이지(CAGE FOR TRANSFERRING PET USING IOT TECHNOLOGY),CAGE FOR TRANSFERRING PET USING IOT TECHNOLOGY,등록,A01K 1/02|A01K 1/035|A01K 29/00,김대용,최석진,김대용,2019.10.31,1021603650000.0,2020.09.21,,
,1020170119519,통신망을 이용한 반려동물 컨설팅 제공방법 및 시스템(METHOD FOR PROVIDING DOG CONSULTING SERVICE THROUGH NETWORK AND SYSTEM THEREOF),METHOD FOR PROVIDING DOG CONSULTING SERVICE THROUGH NETWORK AND SYSTEM THEREOF,등록,G06Q 10/06|G06Q 50/10,박준영,신무연,박준영,2017.09.18,1019404160000.0,2019.01.14,,
,1020200174411,반려동물 경구 수액 조성물(ORAL USE FLUID COMPOSITION FOR PET),ORAL USE FLUID COMPOSITION FOR PET,거절,A61K 36/73|A61K 36/886|A61K 36/752|A61K 9/00|A61P 3/02|A61P 3/12,박준형,특허법인아이엠,박준형,2020.12.14,,,1020220084692.0,2022.06.21
,1020197008806,반려동물 운반 배낭(PET CARRYING BACKPACK),PET CARRYING BACKPACK,등록,A01K 1/02,"케이9 스포츠 색, 엘엘씨",김태홍|김진회,왓슨 조셉|부씨오 다니엘,2017.11.22,1022072400000.0,2021.01.18,1020190040505.0,2019.04.18
,1020210024380,반려동물 개별 맞춤형 큐레이션 시스템(System for providing customized pet food),System for providing customized pet food,거절,G06Q 50/10|G06Q 50/22|G16H 20/60|G06Q 30/06,주식회사 라이노박스,배근오,김희수,2021.02.23,,,1020220120367.0,2022.08.30
,1020170002429,반려동물 급체방지용 식기세트(A slow feeder bowl for pet animal),A slow feeder bowl for pet animal,등록,A01K 5/01|A01K 13/00|A01K 15/00|A01K 29/00,(주)몬도미오,특허법인 플러스,진경희|임은진,2017.01.06,1018940440000.0,2018.08.27,1020180081324.0,2018.07.16
,1020160151967,사료량 측정 기반의 반려동물 자동급식시스템(Companion animal automatic feeder system based on feed quantity measurement),Companion animal automatic feeder system based on feed quantity measurement,등록,G06Q 50/22|A01K 5/02|A01K 5/01,(주)아이오텍,특허법인 웰,고재수|연성훈|고상범,2016.11.15,1018087060000.0,2017.12.07,,
,1020200044537,제품성분 분석 기반 반려동물 맞춤형 펫푸드 추천 시스템(PET FOOD RECOMMENDATION SYSTEM BASED ON PRODUCT COMPOSITION ANALYSIS),PET FOOD RECOMMENDATION SYSTEM BASED ON PRODUCT COMPOSITION ANALYSIS,등록,G06Q 30/06|G06Q 30/02,전영호,박신용,전영호|장현덕,2020.04.13,1023450640000.0,2021.12.27,1020210126893.0,2021.10.21
,1020200118901,반려동물용 관절케어기기(JOINT CARE DEVICE FOR PET),JOINT CARE DEVICE FOR PET,등록,A61N 5/06|A61N 1/36|A61D 9/00|A01K 13/00|A61F 5/34,권도혁,이강현,권도혁,2020.09.16,1024763410000.0,2022.12.06,1020220036551.0,2022.03.23
,1020200037300,반려동물 사료 추천 시스템 및 그 방법(System for recommending feedstuff of companion animal and method therefor),System for recommending feedstuff of companion animal and method therefor,거절,G06Q 30/06,주식회사 벤하우스,조영철,박순재,2020.03.27,,,1020210120509.0,2021.10.07
,1020190105122,"반려동물 비문을 이용한 등록관리 시스템, 방법 및 컴퓨터 프로그램(IDENTIFICATION MANAGEMENT SYSTEM USING COMPANION ANIMALS MUZZLE, METHOD AND COMPUTER PROGRAM)","IDENTIFICATION MANAGEMENT SYSTEM USING COMPANION ANIMALS MUZZLE, METHOD AND COMPUTER PROGRAM",등록,G06Q 50/22|G06K 9/00|G06T 7/00|G06Q 50/26,한태희|이용재|이주현,특허법인오암,한태희|이용재|이주현,2019.08.27,1023417490000.0,2021.12.16,1020210025291.0,2021.03.09
,1020190134866,반려동물 추천 시스템 및 방법(PET RECOMMENDATION SYSTEM AND METHOD),PET RECOMMENDATION SYSTEM AND METHOD,등록,G06Q 30/08|G06Q 30/06|G06Q 50/10,주식회사 베르그앤릿지,특허법인세원,박웅,2019.10.28,1023465210000.0,2021.12.29,1020210050361.0,2021.05.07
,1020200132359,내장형(Built in) 스마트 반려동물 배변 처리 장치(Apparatus for cleaning excretion of pet of buil-in type),Apparatus for cleaning excretion of pet of buil-in type,등록,A01K 1/01|A61L 9/14|A61L 9/013,한남대학교 산학협력단,특허법인오암,최준석|나태욱|박준규|서민주|오현민|유지은|이선미|최종윤|태혜인|신현준,2020.10.14,1024750310000.0,2022.12.02,1020220049628.0,2022.04.22
,1020210070407,반려동물 에어백(Pet airbag),Pet airbag,공개,A01K 1/02|A01K 13/00|B60R 22/10,조민수|이건우|장진희|최샛별,,조민수|이건우|장진희|최샛별,2021.05.31,,,1020220161982.0,2022.12.07
,1020180045928,반려동물 상태 적응형 입마개(MUZZLE CONTROLLED ACCORDING TO THE STATE OF THE PET),MUZZLE CONTROLLED ACCORDING TO THE STATE OF THE PET,등록,A01K 25/00|A01K 29/00|A01K 1/06|H04R 1/02|A01M 29/12,동의대학교 산학협력단,원대규,손인수|허관도|정은아,2018.04.20,1020616120000.0,2019.12.26,1020190122330.0,2019.10.30
,1020200023590,영상 인공지능 기반 반려동물 질병 예후 진단 방법(Diagnosis and prognosis method of pets disease based on visual artificial intelligence),Diagnosis and prognosis method of pets disease based on visual artificial intelligence,거절,A61B 5/11|A61B 5/00|G16H 50/20,송민구,정회환,송민구,2020.02.26,,,1020210108686.0,2021.09.03
,1020200014458,기계학습 기반 반려동물 건강 관리 서비스 제공 방법 및 서버(METHOD AND SERVER FOR PET HEALTH CARE BASED ON MACHINE LEARNING),METHOD AND SERVER FOR PET HEALTH CARE BASED ON MACHINE LEARNING,거절,G16H 50/30|G16H 10/60|G16H 50/50|G16H 80/00|G06Q 50/22|G06N 20/00|G06N 3/08,주식회사 커넥트닷,특허법인엠에이피에스,채지은,2020.02.06,,,1020210100458.0,2021.08.17
,1020190056605,스마트 반려동물 보관함 및 반려동물 보관 시스템(Smart companion animal storage and companion animal storage system),Smart companion animal storage and companion animal storage system,등록,A01K 1/015|A01K 1/02|A01K 1/03,이광호,박상열|최내윤|정우상,이광호,2019.05.14,1022890460000.0,2021.08.05,1020200131690.0,2020.11.24
,1020170105565,반려동물 케어 방법 및 이를 이용하는 시스템(PET CARE METHOD AND SYSTEM USING THE SAME),PET CARE METHOD AND SYSTEM USING THE SAME,등록,A01K 29/00|G06Q 50/10|H01Q 1/22,김인한,,김경수|문명일|전시범|김인한,2017.08.21,1020228930000.0,2019.09.11,1020190020513.0,2019.03.04
,1020200140463,"반려동물 헬스 케어 큐레이션 방법, 장치 및 이를 이용한 시스템(METHOD AND APPARATUS FOR CURATING COMPANION ANIMAL HEALTH CARE, and system using the same)","METHOD AND APPARATUS FOR CURATING COMPANION ANIMAL HEALTH CARE, and system using the same",등록,G16H 50/30|G06Q 50/00|G16H 50/20|G16H 50/70|G16H 50/50|G16H 20/60|G06Q 50/10|G06Q 40/08|G06F 16/951,주식회사 꼬리,특허법인해안,김성진|신지현|김현근|박희진,2020.10.27,1022544190000.0,2021.05.14,,
,1020200139031,사물 인터넷을 통한 실내 반려동물의 심리 및 행동분석에 기초한 지능형 반려동물 관리 시스템 및 방법(INTELLIGENT COMPANION ANIMAL MANAGEMENT SYSTEM AND METHOD BASED ON PSYCHOLOGICAL AND BEHAVIORAL ANALYSIS OF INDOOR COMPANION ANIMALS THROUGH IOT),INTELLIGENT COMPANION ANIMAL MANAGEMENT SYSTEM AND METHOD BASED ON PSYCHOLOGICAL AND BEHAVIORAL ANALYSIS OF INDOOR COMPANION ANIMALS THROUGH IOT,등록,G16H 50/30|G16H 20/70|G16H 20/30|G08B 21/02|G16H 50/70|A01K 1/01|G08B 7/06|A01K 5/02|G06N 20/00,주식회사 헬스앤메디슨,특허법인비엘티,김현욱|전진영|최규현,2020.10.26,1024734430000.0,2022.11.29,1020220055519.0,2022.05.04
,1020200165415,지역기반 O2O 반려동물 물품 중고 거래 서비스의 제공 방법(A method of providing an area-based O2O pet used goods transaction service),A method of providing an area-based O2O pet used goods transaction service,공개,G06Q 30/06|G06Q 30/02,지태호,사효진,지태호,2020.12.01,,,1020220076679.0,2022.06.08
,1020200186659,블록체인 기반의 반려동물 보호 이력 관리 시스템(Blockchain-based pet protection history management system),Blockchain-based pet protection history management system,거절,G06Q 50/22|G06K 9/00|H04L 9/06|H04L 9/32,상명대학교산학협력단,특허법인대한,유진호|김민정,2020.12.29,,,1020220094930.0,2022.07.06
,1020200071789,"사물 인터넷 기반의 반려동물 소통기능 제공장치 및 방법, 사용자 단말기(Apparatus and Method for Communicating with a Pet based on Internet of Things(IoT), User terminal therefor)","Apparatus and Method for Communicating with a Pet based on Internet of Things(IoT), User terminal therefor",등록,G06Q 50/22|G06Q 50/30|G06K 9/00|H04N 7/14,박정훈,특허법인메이저,박정훈,2020.06.12,1021741980000.0,2020.10.29,,
,1020180091366,반려동물 스마트 케어 시스템(SMART CARE SYSTEM FOR COMPANION ANIMAL),SMART CARE SYSTEM FOR COMPANION ANIMAL,등록,A01K 29/00|A01K 7/00|A01K 5/01|G06Q 50/10|H04L 65/40|H04R 3/00,(주) 한국안전위험관리,이재명|박진호|김태완,노동학|천기준|손정호,2018.08.06,1021084510000.0,2020.04.29,1020200016087.0,2020.02.14
,1020210001601,반려동물 발톱의 연마기구(Abrasive tool for pet's claws),Abrasive tool for pet's claws,공개,A01K 13/00|A01K 29/00,김모란,서평강,김모란|강윤구,2021.01.06,,,1020220099406.0,2022.07.13
,1020200103184,닭간 및 식용곤충을 유효성분으로 포함하는 반려동물 기능성 사료 조성물(Companion animal functional feed composition comprising chicken liver and edible insects as an active ingredient),Companion animal functional feed composition comprising chicken liver and edible insects as an active ingredient,등록,A23K 10/20|A23K 10/30,이혜경,위병갑,이혜경|이수비,2020.08.18,1024727770000.0,2022.11.28,1020220022247.0,2022.02.25
,1020200103183,닭간 및 미꾸라지를 유효성분으로 포함하는 반려동물 기능성 사료 조성물(Companion animal functional feed composition comprising chicken liver and loach as an active ingredient),Companion animal functional feed composition comprising chicken liver and loach as an active ingredient,등록,A23K 10/20|A23K 10/22|A23K 10/30,이혜경,위병갑,이혜경|이수비,2020.08.18,1024727780000.0,2022.11.28,1020220022246.0,2022.02.25
,1020180087087,반려동물 전용의 정수기(Pet-only water purifier),Pet-only water purifier,등록,A01K 7/02|A01K 7/06|B01D 35/30|B01D 35/26|G08B 21/18,태형물산 주식회사,최영복,김태형|김상혁|권회주|박순도,2018.07.26,1021013580000.0,2020.04.09,1020200012166.0,2020.02.05
,1020180162452,팅크처 방식으로 추출한 탱자추출물을 활용한 악취저감 반려동물 샴푸 제조방법(trifoliate orange extracted by Tincture How to make odor reducing animal shampoo using this),trifoliate orange extracted by Tincture How to make odor reducing animal shampoo using this,등록,A61K 8/9789|A61Q 5/02|A61Q 19/10|A61Q 15/00,(재)전북바이오융합산업진흥원,정진석,이승제|정은선|김희정|박주용,2018.12.14,1021639760000.0,2020.10.05,1020200073832.0,2020.06.24
,1020210066179,반려동물 이동 가방(Carrying Bag for Pet),Carrying Bag for Pet,공개,A01K 1/02|A45C 7/00|A45C 13/00|A45C 13/30|A45C 13/10|B01D 46/42,주식회사 지엠알 그룹코리아|장대우,특허법인지담,장대우,2021.05.24,,,1020220158412.0,2022.12.01
,1020190160624,반려동물 접근 방지장치(Pet of preventing access to the device),Pet of preventing access to the device,공개,A01K 27/00,박선정,,박선정,2019.12.05,,,1020210070638.0,2021.06.15
,1020190057195,"고등어 부산물과 비타민나무 열매를 포함하는 반려동물 사료 및 그 제조방법(Animal feeds containing mackerel by-product and sea buckthorn fruit, and their preparation method)","Animal feeds containing mackerel by-product and sea buckthorn fruit, and their preparation method",등록,A23K 10/22|A23K 10/30|A23K 20/163|A23K 20/26|A23K 50/40,사단법인 부산고등어식품전략사업단,김성현,손재학|이용수|최재석|김하리|이충근,2019.05.15,1020755390000.0,2020.02.04,,
,1020220093815,"반려동물에 적합한 영양소비율 및 재료 배합비율을 제공하는 반려동물 식단 제공 플랫폼 서비스 제공 장치, 방법 및 프로그램(APPARATUS, METHOD AND PROGRAM FOR PROVIDING A PLATFORM FOR PROVIDING FOOD FOR COMPANION ANIMALS THAT PROVIDE NUTRIENT RATIOS AND INGREDIENT MIXING RATIOS SUITABLE FOR COMPANION ANIMALS)","APPARATUS, METHOD AND PROGRAM FOR PROVIDING A PLATFORM FOR PROVIDING FOOD FOR COMPANION ANIMALS THAT PROVIDE NUTRIENT RATIOS AND INGREDIENT MIXING RATIOS SUITABLE FOR COMPANION ANIMALS",공개,G06Q 50/22|G06Q 50/10|G16H 20/60|G06N 20/00,주식회사 스템프,서평강,양리아,2022.07.28,,,1020220113882.0,2022.08.17
,1020200185410,사냥 본능 유발형 반려동물 먹이 공급장치(Pet food supply device for triggering hunting instinct),Pet food supply device for triggering hunting instinct,공개,A01K 5/02,우주라컴퍼니 주식회사,특허법인청맥,심용주,2020.12.29,,,1020220094320.0,2022.07.06
,1020210065713,헬스케어 기능을 탑재한 스마트 반려동물 리드줄 장치(Smart companion animal lead line device with health care function),Smart companion animal lead line device with health care function,공개,A01K 27/00|A61B 5/0205|A61B 5/00|H04N 7/18|A01K 29/00|G08B 3/10,김세희|서순정,리앤목특허법인,김세희|서순정,2021.05.21,,,1020220157767.0,2022.11.29
,1020210065383,스마트 반려동물 샤워 장치(Smart pet shower device),Smart pet shower device,공개,A01K 13/00|A01K 1/06|A01K 15/04|A01K 5/02|A01K 29/00|G06Q 50/02|G06Q 20/28|G06Q 20/32|G06Q 20/34,주식회사제이앤케이씨,박상열|최내윤|정우상,권기선|권은찬,2021.05.21,,,1020220157623.0,2022.11.29
,1020190135963,반려동물의 정보를 담고 있는 QR 코드(pet of the information code QR),pet of the information code QR,취하,A01K 11/00|G06K 19/06,임정원,,임정원|이예서,2019.10.29,,,1020210051118.0,2021.05.10
,1020200104354,스마트 반려동물 배변판(Defecation plate for companion animal),Defecation plate for companion animal,거절,A01K 1/01|A01K 23/00|A61B 10/00|A61B 5/00|A61B 5/103|A61L 9/14|A61L 9/013,강다윗,특허법인오암,강다윗,2020.08.20,,,1020220022992.0,2022.03.02
,1020190104895,"도축 폐기물을 함유하는 곤충 사료용 조성물, 이를 이용하여 사육한 곤충을 포함하는 가축, 어패류 또는 반려동물 사료용 조성물(Composition comprising slaughter waste for feed of insect, or, livestock, fish, shellfish and pet feed composition comprising the insect breeded thereby)","Composition comprising slaughter waste for feed of insect, or, livestock, fish, shellfish and pet feed composition comprising the insect breeded thereby",등록,A23K 10/20|A23K 10/24|A23K 10/26|A23K 10/12|A23K 10/33|A23K 10/37|A23K 50/90|A23K 50/10|A23K 50/30|A23K 50/40|A23K 50/75|A23K 50/80,농업회사법인 다음산업주식회사,특허법인오암,김종주|신계주|김태원,2019.08.27,1022969700000.0,2021.08.26,1020210027554.0,2021.03.11
,1020210046935,반려동물 초상화가 그려진 가죽소품 제조방법 및 이에 의해 제조된 가죽소품(Leather goods with companion animal portraits on it),Leather goods with companion animal portraits on it,거절,B44F 3/00|C14C 11/00|B44D 2/00,엄소연,김영관,엄소연,2021.04.12,,,1020220140975.0,2022.10.19
,1020200182863,반려동물 스트레스 관리 장치(APPARATUS FOR STRESS MANAGING APPARATUS FOR PETS),APPARATUS FOR STRESS MANAGING APPARATUS FOR PETS,공개,A01K 15/02|A01K 5/02|G11B 20/10|G10L 17/26,조무성|대림통신 주식회사,정부연,조무성,2020.12.24,,,1020220091799.0,2022.07.01
,1020200143307,반려동물 피지제거용 화장료 조성물(COSMETIC COMPOSITION FOR REMOVING SEBUM FROM PET SKIN),COSMETIC COMPOSITION FOR REMOVING SEBUM FROM PET SKIN,공개,A61K 8/9789|A61K 8/92|A61Q 19/00,주식회사 그라스메디,허정훈,최진식|서영준,2020.10.30,,,1020220058039.0,2022.05.09
,1020200177904,반려동물 BCS 측정장치 및 방법(DEVICE AND METHOD FOR MEASURING COMPANION ANIMAL BODY CONDITION SCORE),DEVICE AND METHOD FOR MEASURING COMPANION ANIMAL BODY CONDITION SCORE,공개,A61B 5/053|A61B 5/00|A61B 5/107,대한민국(농촌진흥청장),특허법인(유한)아이시스,김기현|천주란|김동훈|서강민,2020.12.17,,,1020220087321.0,2022.06.24
,1020220021202,수비드 공법을 이용한 반려동물 사료 제조 방법(Method for Manufacturing Pet Feed by using Sous Vide),Method for Manufacturing Pet Feed by using Sous Vide,등록,A23K 10/20|A23K 10/30|A23K 30/20|A23K 40/20|A23K 50/40,주식회사 레시펫,특허법인이씨엠,김지호,2022.02.18,1024625750000.0,2022.10.31,,
,1020200103989,누드타입 반려동물 세정용 장갑 및 이를 포함하는 누드타입 반려동물 세정용 도구(NUDE-TYPE COMPANION ANIMAL CLEANING GLOVES AND NUDE-TYPE COMPANION ANIMAL CLEANING TOOLS INCLUDING THE SAME),NUDE-TYPE COMPANION ANIMAL CLEANING GLOVES AND NUDE-TYPE COMPANION ANIMAL CLEANING TOOLS INCLUDING THE SAME,공개,A01K 13/00|A47K 7/02,한남대학교 산학협력단,박노춘,오성진,2020.08.19,,,1020220022710.0,2022.02.28
,1020200108515,반려동물 분리불안 완화를 위한 스마트 스피커 시스템 및 제어 방법(SMART SPEAKER SYSTEM FOR SEPARATION ANXIETY OF COMPANION ANIMAL AND CONTROL METHOD THEREOF),SMART SPEAKER SYSTEM FOR SEPARATION ANXIETY OF COMPANION ANIMAL AND CONTROL METHOD THEREOF,공개,A01K 29/00|H04R 1/02|H04R 1/20|H04N 7/18|A01K 15/00,이종배,이창희,이종배,2020.08.27,,,1020220027536.0,2022.03.08
